issue;start;result;unit ready;fetch;store;
1;1;3;2;7;
3;3;5;4;9;
5;5;7;6;11;
7;7;9;8;13;
9;9;11;10;15;
11;11;16;13; ;
12;12;14;13;18;
14;16;21;18; ;
17;17;19;18;23;
19;19;24;21; ;
20;24;28;25; ;
25;25;27;26;31;
27;28;32;29; ;
29;29;31;30;35;
31;31;33;32;37;
33;33;49;47; ;
34;34;36;35;40;
36;36;38;37;42;
38;38;40;39;44;
40;40;45;42; ;
41;41;43;42;47;
43;49;54;51; ;
50;50;52;51;56;
52;52;57;54; ;
53;57;61;58; ;
58;58;60;59;64;
60;61;65;62; ;
62;62;64;63;68;
64;64;66;65;70;
66;66;82;80; ;
67;67;69;68;73;
69;69;71;70;75;
71;71;73;72;77;
73;73;78;75; ;
74;74;76;75;80;
76;82;87;84; ;
83;83;85;84;89;
85;85;90;87; ;
86;90;94;91; ;
91;91;93;92;97;
93;94;98;95; ;
95;95;97;96;101;
97;97;99;98;103;
99;99;115;113; ;
100;100;102;101;106;
102;102;104;103;108;
104;104;106;105;110;
106;106;111;108; ;
107;107;109;108;113;
109;115;120;117; ;
116;116;118;117;122;
118;118;123;120; ;
119;123;127;124; ;
124;124;126;125;130;
126;127;131;128; ;
128;128;130;129;134;
130;130;132;131;136;
132;132;148;146; ;
133;133;135;134;139;
135;135;137;136;141;
137;137;139;138;143;
139;139;144;141; ;
140;140;142;141;146;
142;148;153;150; ;
149;149;151;150;155;
151;151;156;153; ;
152;156;160;157; ;
157;157;159;158;163;
159;160;164;161; ;
161;161;163;162;167;
163;163;165;164;169;
165;165;181;179; ;185;
